Question
"Is the smiles: CCN(CC)C(=O)C1=CC=CC(=C1)C , druglike ?"
"Is the smiles: C1=C(C=C(C(=C1Cl)O)Cl)Cl , druglike ?"
"Is the smiles: CC(C1=CC=CC=C1)OC(=O)C=C(C)OP(=O)(OC)OC , druglike ?"
"Is the smiles: CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C , druglike ?"
"Is the smiles: CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Zn+2] , druglike ?"
"Is the smiles: CCOC=O , druglike ?"
"Is the smiles: C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O , druglike ?"
"Is the smiles: CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C , druglike ?"
"Is the smiles: C1=CC=C(C=C1)C(=O)[O-].[Na+] , druglike ?"
"Is the smiles: C=CC(=O)O , druglike ?"
"Is the smiles: CC(=O)CCC1=CC=C(C=C1)O , druglike ?"
"Is the smiles: COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O , druglike ?"
"Is the smiles: COP(=O)(C(C(Cl)(Cl)Cl)O)OC , druglike ?"
"Is the smiles: C(C(C(=O)O)N)O , druglike ?"
"Is the smiles: CSC , druglike ?"
"Is the smiles: CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O , druglike ?"
"Is the smiles: CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[Cl-] , druglike ?"
"Is the smiles: CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-] , druglike ?"
"Is the smiles: CC1=C(C=CC2=C1OC(=O)C(=C2O)NC(=O)C3=CC(=C(C=C3)O)CC=C(C)C)OC4C(C(C(C(O4)(C)C)OC)OC(=O)N)O , druglike ?"
"Is the smiles: CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4 , druglike ?"
"Is the smiles: C1=CN=CC=C1N , druglike ?"
"Is the smiles: C1CCC(CC1)NS(=O)(=O)O , druglike ?"
"Is the smiles: COC(=O)C1=CC=CC=C1N , druglike ?"
"Is the smiles: COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O , druglike ?"
"Is the smiles: C(CC(=O)O)C(=O)O , druglike ?"
"Is the smiles: C(C(C(=O)O)N)S , druglike ?"
"Is the smiles: CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O , druglike ?"
"Is the smiles: CCCCC(CC)CO , druglike ?"
"Is the smiles: CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl , druglike ?"
"Is the smiles: CC(CCC=C(C)C)CCO , druglike ?"
"Is the smiles: CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C , druglike ?"
"Is the smiles: CCC=C , druglike ?"
"Is the smiles: CCOC(=O)C=C , druglike ?"
"Is the smiles: CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O , druglike ?"
"Is the smiles: CCC1C(COC1=O)CC2=CN=CN2C , druglike ?"
"Is the smiles: CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O , druglike ?"
"Is the smiles: C1CCNCC1 , druglike ?"
"Is the smiles: CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C , druglike ?"
"Is the smiles: C(=O)([O-])[O-].[Ca+2] , druglike ?"
"Is the smiles: CC(CCCC(C)(C)O)CC=O , druglike ?"
"Is the smiles: CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C , druglike ?"
"Is the smiles: C(CCCN=C=O)CCN=C=O , druglike ?"
"Is the smiles: COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC , druglike ?"
"Is the smiles: C(C(C(C(C(CO)O)O)O)O)O , druglike ?"
"Is the smiles: CCCCCCCCCCCCCCC , druglike ?"
"Is the smiles: C1CN(CCN1C(=O)CCBr)C(=O)CCBr , druglike ?"
"Is the smiles: CN1C(CCC1=O)C2=CN=CC=C2 , druglike ?"
"Is the smiles: CC(=CCCC(=CCO)C)C , druglike ?"
"Is the smiles: CCCCCCCCCCCCCCO , druglike ?"
"Is the smiles: CCCCOC(=O)C(=C)C , druglike ?"
"Is the smiles: C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O , druglike ?"
"Is the smiles: CC1=CC(=O)C(C(=O)O1)C(=O)C , druglike ?"
"Is the smiles: COP(=O)(OC)OC=C(Cl)Cl , druglike ?"
"Is the smiles: CCC , druglike ?"
"Is the smiles: CC12CCC(=O)C=C1C3CC3C4C2CCC5(C4C6CC6C57CCC(=O)O7)C , druglike ?"
"Is the smiles: CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O , druglike ?"
"Is the smiles: C(C(C(=O)O)O)C(=O)O , druglike ?"
"Is the smiles: CCOC=C , druglike ?"
"Is the smiles: CC(=O)NC1=CC=C(C=C1)O , druglike ?"
"Is the smiles: COC1=C(C=CC(=C1)C=O)O , druglike ?"
"Is the smiles: CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C , druglike ?"
"Is the smiles: C=CC#N , druglike ?"
"Is the smiles: C(=O)([O-])[O-].[Na+].[Na+] , druglike ?"
"Is the smiles: CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C , druglike ?"
"Is the smiles: CC(=O)[O-].CC(=O)[O-].[Cu+2] , druglike ?"
"Is the smiles: CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C , druglike ?"
"Is the smiles: CC=CC1=CC=C(C=C1)OC , druglike ?"
"Is the smiles: CC(C)CO , druglike ?"
"Is the smiles: C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-] , druglike ?"
"Is the smiles: CN1C=NC2=C1C(=O)NC(=O)N2C , druglike ?"
"Is the smiles: CC1=CCC(CC1)C(C)(C)O , druglike ?"
"Is the smiles: C1=CC=C(C(=C1)C(=O)O)C(=O)O , druglike ?"
"Is the smiles: C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3 , druglike ?"
"Is the smiles: CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C , druglike ?"
"Is the smiles: CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-] , druglike ?"
"Is the smiles: CNC(=O)OC1=CC=CC(=C1)N=CN(C)C.Cl , druglike ?"
"Is the smiles: CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CCCC2C(=O)O , druglike ?"
"Is the smiles: CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C , druglike ?"
"Is the smiles: CC(CCO)O , druglike ?"
"Is the smiles: CCCCCCCO , druglike ?"
"Is the smiles: CC(C)(C)OO , druglike ?"
"Is the smiles: C(CCN)CN , druglike ?"
"Is the smiles: C(CNCCN)N , druglike ?"
"Is the smiles: CCC(=O)C(=O)C , druglike ?"
"Is the smiles: CC1C2CC3=C(C1(CCN2CC=C(C)C)C)C=C(C=C3)O , druglike ?"
"Is the smiles: C1=CC(=CC=C1Cl)Cl , druglike ?"
"Is the smiles: C(Br)(Br)(Br)Br , druglike ?"
"Is the smiles: CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O , druglike ?"
"Is the smiles: CCCCCCCCCCCCC(=O)O , druglike ?"
"Is the smiles: CCCCOC(=O)C , druglike ?"
"Is the smiles: C1=CC=C(C(=C1)C(=O)O)O , druglike ?"
"Is the smiles: CC(=CCCC(=CCCC(=CCO)C)C)C , druglike ?"
"Is the smiles: C(CO)N(CCO)CCO , druglike ?"
"Is the smiles: CC(CC1=CC=C(C=C1)OC)N , druglike ?"
"Is the smiles: C1=NC2=C(N1COCCO)N=C(NC2=O)N , druglike ?"
"Is the smiles: CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-] , druglike ?"
"Is the smiles: CC(=O)CCC(=O)O , druglike ?"
"Is the smiles: CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-] , druglike ?"
"Is the smiles: C1=CC(=C(C=C1C(CN)O)O)O , druglike ?"
"Is the smiles: CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl , druglike ?"
"Is the smiles: C1=CC(=CC=C1[N+](=O)[O-])O , druglike ?"
"Is the smiles: CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C , druglike ?"
"Is the smiles: CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3 , druglike ?"
"Is the smiles: CC1=CCC(=C(C)C)CC1 , druglike ?"
"Is the smiles: CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C , druglike ?"
"Is the smiles: CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC , druglike ?"
"Is the smiles: CCCCCCC(CC=CCCCCCCCC(=O)O)O , druglike ?"
"Is the smiles: CC(C)OC(=O)NC1=CC=CC=C1 , druglike ?"
"Is the smiles: CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C , druglike ?"
"Is the smiles: CC(C(=O)O)O , druglike ?"
"Is the smiles: C(SC#N)SC#N , druglike ?"
"Is the smiles: COC(=O)C1=CC=CC=C1 , druglike ?"
"Is the smiles: CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC , druglike ?"
"Is the smiles: C=CC(=O)N , druglike ?"
"Is the smiles: C(C(C(=O)O)N)SSCC(C(=O)O)N , druglike ?"
"Is the smiles: CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O , druglike ?"
"Is the smiles: CC(=C)C(=O)OC , druglike ?"
"Is the smiles: CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F , druglike ?"
"Is the smiles: CC1=C(C=C(C=C1)N=C=O)N=C=O , druglike ?"
"Is the smiles: C1=CC=C2C(=C1)C(=O)NS2(=O)=O , druglike ?"
"Is the smiles: CC1=CC=CC=C1C , druglike ?"
"Is the smiles: C1=CNC(=S)NC1=O , druglike ?"
"Is the smiles: CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O , druglike ?"
"Is the smiles: CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C , druglike ?"
"Is the smiles: C1=CC=C2C=C3C=CC=CC3=CC2=C1 , druglike ?"
"Is the smiles: C1CC2C3CCC[N+]4(C3C(CCC4)CN2C(=O)C1)[O-] , druglike ?"
"Is the smiles: C(=S)(N)N , druglike ?"
"Is the smiles: C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N , druglike ?"
"Is the smiles: C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O , druglike ?"
"Is the smiles: CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3 , druglike ?"
"Is the smiles: C1C(C(C(C(O1)(CO)O)O)O)O , druglike ?"
"Is the smiles: CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O , druglike ?"
"Is the smiles: C1CCC(CC1)O , druglike ?"
"Is the smiles: CSCCC=O , druglike ?"
"Is the smiles: CCCCCCO , druglike ?"
"Is the smiles: CC(=O)NC(CS)C(=O)O , druglike ?"
"Is the smiles: C(CO)NCCO , druglike ?"
"Is the smiles: CCCC=C , druglike ?"
"Is the smiles: CCCCCCCCCC(=O)O , druglike ?"
"Is the smiles: CC=CC1=CC(=C(C=C1)O)OC , druglike ?"
"Is the smiles: CC1=CC=C(C=C1)C(C)C , druglike ?"
"Is the smiles: CN(C)C , druglike ?"
"Is the smiles: COC1=C(C=C(C=C1)CC=C)OC , druglike ?"
"Is the smiles: CCOC(=O)N , druglike ?"
"Is the smiles: CCC(C)CO , druglike ?"
"Is the smiles: CCON=O , druglike ?"
"Is the smiles: CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC , druglike ?"
"Is the smiles: CCCOC(=O)NCCCN(C)C , druglike ?"
"Is the smiles: CC12CCC3C(C1CCC2(C#C)O)CCC4=C3CCC(=O)C4 , druglike ?"
"Is the smiles: CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-] , druglike ?"
"Is the smiles: C(C(=O)O)O , druglike ?"
"Is the smiles: C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl , druglike ?"
"Is the smiles: C1=CC=C(C=C1)C=CC=O , druglike ?"
"Is the smiles: C(C(C(C(C(C(=O)O)O)O)O)O)O , druglike ?"
"Is the smiles: C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O , druglike ?"
"Is the smiles: C=CC(=O)OCCO , druglike ?"
"Is the smiles: C(COCCOCCO)O , druglike ?"
"Is the smiles: CCC=CCCO , druglike ?"
"Is the smiles: C1CCC(=O)CC1 , druglike ?"
"Is the smiles: CCCCCCCCOC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O , druglike ?"
"Is the smiles: CC1=C(C=C(C=C1)N)N , druglike ?"
"Is the smiles: C(C(=CC(=O)O)C(=O)O)C(=O)O , druglike ?"
"Is the smiles: CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O , druglike ?"
"Is the smiles: CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl , druglike ?"
"Is the smiles: C1=CC(=CC=C1N)[As](=O)(O)O , druglike ?"
"Is the smiles: CC(C)CC(=O)O , druglike ?"
